350601	电器
350895	电力
351017	房地产
351003	计算机
351096	电子信息
375454	机械
350550	仪电仪表
350552	房地产
375520	运输物流
351084	纺织服装
375575	交通工具
352146	其他行业
352162	医药
351492	机械
372811	教育传媒
368516	运输物流
373673	交通工具
371110	医药
351496	电子信息
351825	仪电仪表
352234	医药
352454	计算机
370673	建材
365440	电力
369892	医药
352016	工程建筑
351537	电子信息
368734	医药
368731	酿酒食品
367182	化工化纤
350453	煤炭石油
374436	运输物流
350705	房地产
349758	煤炭石油
375202	交通工具
351359	建材
373761	电器
373703	造纸印刷
373692	机械
351397	电子信息
369114	券商
365640	交通工具
365650	房地产
373546	电子信息
368093	有色金属
373554	化工化纤
373559	化工化纤
373579	计算机
372214	有色金属
372218	电子信息
350397	商业连锁
371986	计算机
375251	机械
350380	建材
349769	机械
366214	交通设施
351027	纺织服装
367376	电力
368922	电子信息
350794	房地产
350795	农林牧渔
367601	商业连锁
366730	医药
352327	其他行业
352333	电子信息
351753	医药
351755	机械
351760	建材
351773	医药
366904	有色金属
366923	机械
350605	房地产
352265	仪电仪表
374330	机械
371540	仪电仪表
373686	医药
372518	化工化纤
372671	机械
372636	交通设施
350853	通信
350786	医药
350772	钢铁
350777	券商
372265	交通设施
367882	交通设施
370099	化工化纤
350153	供水供气
366591	医药
366357	机械
366398	农林牧渔
350611	电器
351772	仪电仪表
371741	化工化纤
350377	交通工具
349774	煤炭石油
371852	其他行业
351056	工程建筑
375657	工程建筑
370271	钢铁
370273	交通工具
352172	供水供气
351181	电子信息
370841	房地产
374738	仪电仪表
369306	供水供气
351502	机械
351727	电子信息
374233	仪电仪表
374951	机械
373222	医药
370302	电子信息
350822	造纸印刷
351069	电子信息
351075	工程建筑
351082	银行类
373799	机械
368956	化工化纤
365242	房地产
352087	煤炭石油
374478	电器
367424	交通工具
351236	通信
351280	商业连锁
351520	仪电仪表
351517	电子信息
351116	机械
366231	交通工具
350754	房地产
374473	纺织服装
350947	医药
350962	医药
372920	酿酒食品
352466	医药
370062	仪电仪表
370067	旅游酒店
350690	电器
350691	化工化纤
379170	化工化纤
350376	建材
350381	钢铁
349778	煤炭石油
350404	造纸印刷
349690	医药
377655	计算机
365809	旅游酒店
368962	供水供气
374629	电子信息
373595	电子信息
350751	券商
350299	造纸印刷
350827	电子信息
351189	机械
350893	煤炭石油
375495	医药
350997	化工化纤
372133	农林牧渔
370387	电子信息
370390	电子信息
351448	电子信息
374564	机械
373744	计算机
351162	电子信息
366748	电子信息
366752	房地产
366787	教育传媒
366791	仪电仪表
366798	机械
366814	机械
366819	电子信息
366827	建材
366837	计算机
366859	交通工具
366887	非银金融
366913	机械
350603	电子信息
366916	房地产
366919	钢铁
366924	运输物流
366934	医药
366943	有色金属
366987	纺织服装
367035	电力
367047	医药
367080	商业连锁
367087	房地产
367091	房地产
367095	教育传媒
367106	房地产
367116	电子信息
367130	电力
367143	通信
367154	通信
367206	商业连锁
367213	房地产
367217	商业连锁
367230	酿酒食品
377659	医药
379169	纺织服装
351382	有色金属
366531	纺织服装
365668	酿酒食品
372885	电子信息
374434	电器
351480	商业连锁
351481	工程建筑
367646	商业连锁
370366	机械
351010	纺织服装
366650	医药
349760	房地产
365710	医药
369422	建材
350450	保险
371865	有色金属
350434	交通设施
350405	交通工具
367526	房地产
367626	外贸
367720	计算机
367935	纺织服装
368174	建材
352352	医药
369450	交通工具
350844	有色金属
371913	电子信息
371931	化工化纤
366520	通信
366536	机械
366560	房地产
366646	工程建筑
365107	交通设施
375688	化工化纤
351132	化工化纤
373910	仪电仪表
369597	工程建筑
369598	钢铁
369606	化工化纤
369006	外贸
351549	化工化纤
351461	通信
350224	医药
351168	造纸印刷
351262	仪电仪表
350117	医药
349904	供水供气
368024	银行类
350075	有色金属
351247	教育传媒
351245	纺织服装
349711	造纸印刷
373353	工程建筑
373356	造纸印刷
366671	计算机
371310	电子信息
351679	煤炭石油
352367	医药
373009	机械
370567	教育传媒
368425	化工化纤
369951	电器
368167	计算机
349646	电力
369966	医药
367977	煤炭石油
373379	其他行业
371902	农林牧渔
372805	券商
366302	纺织服装
370606	交通工具
366311	仪电仪表
349659	工程建筑
372603	医药
367312	化工化纤
349665	旅游酒店
350437	券商
350439	银行类
374112	机械
373678	医药
351866	仪电仪表
350432	运输物流
375413	化工化纤
350850	交通设施
350647	医药
350424	钢铁
367322	电力
349684	电子信息
349686	计算机
371202	纺织服装
371209	电子信息
371367	工程建筑
352218	仪电仪表
366294	纺织服装
372005	纺织服装
352237	交通工具
352371	计算机
349786	煤炭石油
349700	酿酒食品
375774	工程建筑
349850	电器
350575	造纸印刷
350576	工程建筑
350582	有色金属
368812	机械
373918	交通工具
349715	纺织服装
369183	煤炭石油
352177	仪电仪表
366172	造纸印刷
350527	通信
350530	工程建筑
369505	通信
369516	化工化纤
369550	医药
